N,P,K,temperature,humidity,ph,rainfall,soil_type,state,season,crop
98.93,8.75,51.46,32.26,74.06,6.91,1970.87,Red,Kerala,Zaid,Banana
111.97,27.81,151.35,35.38,67.82,6.43,591.16,Red,Karnataka,Zaid,Potato
284.34,21.46,111.85,27.09,80.99,7.91,1196.0,Black,Andhra Pradesh,Zaid,Banana
220.21,23.2,267.4,22.42,70.89,7.7,672.13,Alluvial,Uttar Pradesh,Zaid,Potato
240.21,19.87,118.05,7.93,60.17,6.84,1000.93,Alluvial,Uttar Pradesh,Rabi,Tobacco
72.73,13.02,148.27,43.56,18.21,8.65,768.26,Saline,Rajasthan,Zaid,Potato
76.58,12.44,139.95,30.1,45.57,8.2,1032.4,Black,Gujarat,Kharif,Cotton
231.3,34.21,110.08,32.78,83.92,7.86,2139.11,Alluvial,Kerala,Rabi,Jowar
68.87,29.38,118.03,31.51,69.9,7.09,1192.67,Alluvial,Andhra Pradesh,Kharif,Cotton
233.01,11.13,200.61,21.46,52.84,8.02,528.39,Black,Gujarat,Kharif,Tobacco
88.27,36.84,297.24,32.97,43.56,7.78,1077.64,Black,Telangana,Zaid,Banana
85.02,14.63,126.7,28.19,78.01,6.86,1339.11,Alluvial,Karnataka,Rabi,Jowar
171.03,11.36,59.45,34.68,53.84,5.26,1187.81,Laterite,Telangana,Rabi,Tobacco
121.12,12.26,211.79,31.05,81.82,7.18,2690.26,Black,Maharashtra,Kharif,Sugarcane
120.83,12.53,69.46,27.97,73.27,6.55,3716.51,Sandy,Kerala,Kharif,Coconut
130.91,21.25,121.32,14.93,91.62,6.72,1865.22,Alluvial,Assam,Kharif,Rice
105.15,14.96,198.33,18.83,48.39,7.52,2648.97,Alluvial,Karnataka,Kharif,Cotton
249.36,6.43,86.64,24.13,74.79,8.44,793.33,Black,Uttar Pradesh,Kharif,Tobacco
63.86,15.47,151.76,34.16,60.72,6.0,1505.2,Sandy,Bihar,Kharif,Sugarcane
25.05,12.81,41.53,37.47,67.09,6.62,1128.87,Sandy,Uttar Pradesh,Zaid,Potato
99.53,19.53,79.47,26.63,55.18,6.68,2189.29,Red,West Bengal,Rabi,Chilli
140.58,8.39,49.52,27.11,78.83,5.93,683.69,Laterite,Tamil Nadu,Rabi,Groundnut
76.57,21.24,120.89,27.37,31.81,6.74,185.66,Red,Rajasthan,Kharif,Bajra
33.19,14.3,101.09,21.48,70.04,6.91,1723.64,Red,Odisha,Zaid,Banana
254.3,10.06,375.34,22.11,56.72,8.17,735.13,Black,Andhra Pradesh,Rabi,Chilli
218.16,8.31,112.11,29.05,67.11,7.93,1389.11,Black,Odisha,Rabi,Jowar
67.24,6.34,113.24,18.98,35.13,6.72,375.62,Sandy,Haryana,Kharif,Bajra
87.0,8.41,144.84,24.92,66.89,6.19,2333.78,Laterite,West Bengal,Kharif,Tea
117.81,11.36,79.74,30.09,85.86,6.19,3494.79,Laterite,Kerala,Zaid,Banana
123.28,10.3,171.07,27.75,59.91,5.75,826.71,Red,Madhya Pradesh,Rabi,Maize
72.37,19.19,48.19,21.86,55.88,6.87,1340.66,Sandy,Tamil Nadu,Kharif,Coconut
103.29,20.41,255.65,35.46,69.14,7.53,1187.46,Black,Andhra Pradesh,Zaid,Banana
41.81,10.78,236.48,12.31,66.91,5.61,2326.3,Red,West Bengal,Rabi,Potato
241.81,14.26,236.16,22.17,83.96,7.32,1066.43,Alluvial,Bihar,Rabi,Maize
245.67,27.51,108.0,22.96,76.58,6.68,1615.31,Alluvial,Kerala,Zaid,Banana
139.4,14.89,304.57,32.24,75.69,7.5,792.67,Alluvial,Telangana,Kharif,Sugarcane
205.77,26.52,225.57,28.67,65.13,7.95,742.46,Black,Uttar Pradesh,Rabi,Jowar
88.39,14.41,120.24,31.81,58.49,6.21,1618.67,Red,Maharashtra,Kharif,Cotton
120.56,10.31,74.01,27.75,92.69,5.63,3285.08,Laterite,Kerala,Zaid,Banana
260.12,10.95,321.98,37.43,62.7,7.06,1198.76,Black,Tamil Nadu,Zaid,Banana
232.94,6.44,255.41,32.15,46.29,7.34,596.83,Clay,Haryana,Zaid,Banana
53.89,20.1,187.78,34.4,72.8,6.99,2097.48,Red,Karnataka,Kharif,Jowar
89.06,13.14,177.81,21.11,22.51,6.53,401.37,Red,Rajasthan,Kharif,Maize
43.57,3.52,95.91,17.53,36.62,6.29,543.93,Sandy,Haryana,Zaid,Potato
68.15,13.32,49.77,6.24,73.68,5.8,686.77,Sandy,Haryana,Kharif,Ragi
186.35,9.09,156.56,15.4,91.31,6.6,2566.33,Red,Assam,Zaid,Potato
240.51,19.02,110.74,13.86,69.47,7.69,872.02,Alluvial,Punjab,Rabi,Potato
309.24,30.3,270.86,43.11,39.02,7.36,454.63,Alluvial,Punjab,Zaid,Potato
101.07,13.53,223.93,36.87,55.92,8.14,1123.23,Black,Andhra Pradesh,Zaid,Banana
38.13,5.95,136.17,16.78,30.64,7.16,668.93,Sandy,Haryana,Kharif,Bajra
232.79,16.07,143.13,15.34,87.75,7.22,2500.28,Alluvial,Assam,Kharif,Tea
60.11,7.74,182.91,29.56,37.14,8.83,1230.42,Saline,Gujarat,Rabi,Tobacco
171.16,11.26,90.27,34.8,59.55,6.9,1934.48,Red,West Bengal,Rabi,Tobacco
56.06,11.29,233.84,45.88,46.61,6.64,308.64,Red,Rajasthan,Kharif,Bajra
65.13,7.38,56.43,15.57,59.02,6.98,597.57,Sandy,Punjab,Rabi,Mustard
21.39,7.71,70.34,5.4,50.88,6.69,781.75,Sandy,Haryana,Rabi,Mustard
158.9,25.08,161.04,25.07,86.58,7.36,2322.57,Alluvial,Assam,Rabi,Chilli
189.0,38.16,144.55,26.83,84.03,7.48,2665.39,Alluvial,Assam,Zaid,Banana
294.3,15.68,236.99,31.44,76.5,7.08,2362.98,Alluvial,Kerala,Kharif,Rice
69.87,15.79,152.63,15.15,94.87,6.01,2290.85,Laterite,Assam,Rabi,Potato
206.66,12.5,271.45,29.3,94.43,6.94,3393.28,Red,Kerala,Rabi,Jowar
158.57,11.52,147.79,35.21,63.88,7.77,1347.48,Black,Odisha,Kharif,Sugarcane
140.41,20.12,145.19,6.56,31.62,6.44,387.61,Clay,Haryana,Rabi,Mustard
263.53,22.81,150.35,26.64,91.38,6.78,2017.69,Alluvial,Kerala,Kharif,Coconut
98.88,14.2,71.25,38.83,37.6,7.66,977.8,Black,Maharashtra,Kharif,Cotton
83.41,19.68,82.12,30.42,77.41,5.9,3286.06,Red,Kerala,Rabi,Maize
199.87,7.05,84.3,24.2,72.97,7.5,3411.8,Alluvial,Kerala,Zaid,Banana
114.84,36.77,67.0,10.34,79.63,7.76,2461.33,Alluvial,West Bengal,Kharif,Rice
58.27,16.54,269.42,18.66,38.14,6.44,949.53,Red,Madhya Pradesh,Zaid,Potato
213.74,30.42,130.04,18.34,60.49,6.17,336.06,Clay,Haryana,Kharif,Sugarcane
164.39,12.83,116.18,22.25,49.37,7.72,2141.89,Black,Maharashtra,Rabi,Jowar
94.72,11.82,116.0,12.05,74.35,5.37,1675.6,Laterite,Assam,Zaid,Potato
66.71,11.21,78.75,27.07,41.39,5.53,625.13,Sandy,Punjab,Zaid,Potato
108.51,8.03,208.24,28.68,62.76,8.37,990.96,Black,Tamil Nadu,Rabi,Chilli
61.68,14.08,172.78,28.88,59.74,7.32,823.32,Black,Uttar Pradesh,Zaid,Banana
221.44,18.23,250.15,35.83,51.37,6.58,723.73,Clay,Uttar Pradesh,Zaid,Potato
118.44,10.41,81.48,23.39,34.91,9.06,554.53,Saline,Rajasthan,Kharif,Maize
234.36,21.27,98.56,26.08,74.37,8.39,1352.93,Black,Odisha,Kharif,Sugarcane
46.71,10.6,153.54,26.04,34.33,6.08,618.44,Red,Rajasthan,Zaid,Potato
84.12,8.5,146.74,9.53,25.01,7.03,463.46,Alluvial,Rajasthan,Rabi,Barley
232.49,11.59,200.87,40.24,71.35,6.04,1297.42,Clay,Bihar,Rabi,Wheat
218.16,31.32,58.09,25.03,67.63,7.59,810.69,Alluvial,Punjab,Zaid,Potato
78.35,10.09,30.71,30.73,40.7,6.32,1168.53,Sandy,Bihar,Kharif,Ragi
108.49,3.03,85.45,37.53,68.64,5.51,958.1,Sandy,Gujarat,Zaid,Potato
99.98,21.13,49.72,24.67,78.19,6.57,1408.18,Red,Odisha,Kharif,Turmeric
110.05,17.89,202.97,24.93,58.65,7.1,774.12,Clay,Punjab,Kharif,Maize
114.82,15.01,44.68,34.72,68.09,6.53,1200.09,Sandy,Tamil Nadu,Zaid,Banana
41.65,17.34,217.75,37.96,62.24,6.79,624.21,Red,Andhra Pradesh,Kharif,Cotton
76.02,16.13,79.31,36.71,68.27,5.85,1422.89,Laterite,Odisha,Kharif,Sugarcane
148.57,12.34,216.99,34.75,51.79,8.0,557.43,Black,Karnataka,Rabi,Jowar
188.23,7.64,139.44,30.14,80.24,7.13,3148.74,Black,Karnataka,Rabi,Jowar
305.78,15.37,153.38,31.77,74.59,6.79,783.63,Clay,Uttar Pradesh,Zaid,Banana
52.67,3.77,28.87,32.63,94.19,7.45,2599.35,Sandy,Kerala,Rabi,Groundnut
116.74,25.56,172.43,30.34,51.24,7.56,1935.49,Alluvial,Karnataka,Zaid,Banana
231.11,29.95,142.46,16.68,47.35,7.05,1237.79,Alluvial,Madhya Pradesh,Rabi,Wheat
102.43,13.71,84.6,18.4,44.82,6.14,2878.61,Laterite,Maharashtra,Rabi,Wheat
100.44,11.0,90.4,20.96,50.35,6.62,276.96,Sandy,Rajasthan,Rabi,Mustard
94.4,4.09,39.45,12.98,44.7,6.61,742.25,Sandy,Uttar Pradesh,Kharif,Sesame
111.87,16.03,48.38,26.53,70.34,5.05,2290.93,Laterite,West Bengal,Kharif,Tea
50.76,9.85,32.58,26.1,78.31,6.34,2234.44,Sandy,Kerala,Rabi,Groundnut
190.35,31.36,173.35,17.21,52.14,7.01,613.26,Alluvial,Gujarat,Kharif,Tobacco
44.13,21.15,146.12,32.93,84.96,5.37,1414.06,Laterite,Odisha,Zaid,Banana
118.64,18.02,190.96,24.57,59.09,5.26,2086.8,Laterite,West Bengal,Kharif,Tea
79.07,11.61,119.75,35.69,61.49,7.84,708.47,Alluvial,Punjab,Kharif,Cotton
120.7,14.36,76.47,23.86,45.45,6.21,711.72,Laterite,Maharashtra,Rabi,Wheat
74.1,22.67,77.02,30.38,58.28,6.48,3284.31,Red,Karnataka,Rabi,Jowar
105.45,11.69,132.35,16.96,24.76,8.81,301.6,Saline,Rajasthan,Kharif,Bajra
163.22,28.13,232.98,34.89,62.25,7.81,1637.12,Black,Karnataka,Rabi,Jowar
114.2,10.23,203.52,34.53,62.98,5.6,1194.2,Laterite,Andhra Pradesh,Zaid,Banana
151.92,9.16,191.88,34.84,89.41,7.25,1826.25,Alluvial,Kerala,Kharif,Banana
68.54,4.64,46.52,19.05,71.01,6.18,2382.53,Laterite,Assam,Zaid,Potato
108.09,8.44,67.25,21.44,74.08,5.14,1832.67,Laterite,Assam,Zaid,Potato
114.5,19.82,104.14,11.8,54.63,8.13,1153.69,Black,Madhya Pradesh,Rabi,Wheat
69.06,25.48,157.06,35.72,80.83,6.89,1391.86,Alluvial,Karnataka,Rabi,Jowar
91.13,16.14,98.39,34.04,72.75,7.53,1582.74,Black,Odisha,Kharif,Sugarcane
131.67,13.45,258.56,38.88,46.22,8.01,1005.89,Black,Uttar Pradesh,Kharif,Cotton
103.52,4.94,47.84,26.52,80.66,5.04,2322.22,Laterite,Assam,Kharif,Tea
259.42,28.03,184.42,37.73,66.4,6.62,1366.11,Alluvial,West Bengal,Kharif,Sugarcane
79.84,28.35,141.05,28.6,32.1,5.63,524.99,Red,Rajasthan,Rabi,Maize
180.75,19.29,232.37,26.75,69.54,7.54,1033.31,Alluvial,Telangana,Kharif,Sugarcane
31.13,6.1,74.17,36.4,56.25,5.96,1048.32,Laterite,Tamil Nadu,Kharif,Coconut
221.57,27.92,173.77,29.86,74.5,7.56,1294.96,Black,Maharashtra,Rabi,Jowar
85.28,15.0,113.25,34.61,59.06,6.12,777.88,Red,Tamil Nadu,Zaid,Banana
157.24,13.67,167.59,11.76,74.33,6.81,1973.8,Alluvial,West Bengal,Rabi,Wheat
197.9,16.52,177.82,17.6,69.57,6.4,1149.47,Clay,Uttar Pradesh,Zaid,Potato
214.71,19.21,89.66,25.65,59.03,6.81,1161.56,Clay,Uttar Pradesh,Kharif,Sugarcane
115.92,15.43,93.4,22.04,50.04,7.87,407.28,Clay,Punjab,Rabi,Wheat
43.41,5.15,33.0,4.2,47.9,6.27,655.85,Sandy,Punjab,Zaid,Potato
98.16,15.38,256.1,35.44,71.22,7.34,1745.02,Alluvial,Kerala,Zaid,Banana
124.64,17.62,306.08,37.88,67.84,8.48,1344.45,Black,Madhya Pradesh,Kharif,Sugarcane
142.88,10.95,98.93,31.94,74.14,8.2,1485.05,Black,Odisha,Rabi,Chilli
83.7,18.61,203.87,26.7,43.06,6.74,1108.74,Clay,Bihar,Zaid,Banana
181.46,18.22,171.36,11.35,77.46,6.27,1127.76,Clay,Uttar Pradesh,Rabi,Wheat
55.99,6.91,80.23,33.88,51.53,5.06,2361.84,Laterite,Maharashtra,Zaid,Banana
54.09,6.93,115.81,10.23,54.81,5.43,1028.5,Laterite,Madhya Pradesh,Kharif,Ragi
274.59,12.53,93.88,27.76,66.46,6.96,1255.9,Alluvial,Bihar,Rabi,Maize
101.49,15.02,274.32,38.92,75.8,8.21,547.36,Black,Maharashtra,Kharif,Cotton
99.4,18.22,190.56,13.92,78.51,5.59,2148.1,Laterite,West Bengal,Kharif,Tea
354.13,24.53,136.38,29.64,93.16,7.23,3678.29,Alluvial,Kerala,Zaid,Banana
312.46,19.81,187.49,24.24,77.1,6.68,3084.25,Alluvial,Karnataka,Rabi,Maize
198.47,6.0,223.93,20.34,38.41,8.27,1101.87,Black,Uttar Pradesh,Rabi,Wheat
115.46,8.45,167.98,7.84,47.49,7.49,1117.5,Black,Uttar Pradesh,Kharif,Sugarcane
38.43,13.99,88.27,22.7,72.81,6.18,1024.37,Laterite,Telangana,Zaid,Banana
154.86,11.02,96.84,24.41,74.98,5.0,1487.22,Laterite,Odisha,Rabi,Groundnut
73.22,14.99,30.97,25.72,56.61,6.49,713.93,Laterite,Andhra Pradesh,Kharif,Ragi
187.53,25.28,120.08,40.32,33.43,6.53,1490.27,Alluvial,Gujarat,Zaid,Banana
78.97,7.27,136.28,24.79,66.56,6.36,1338.84,Laterite,West Bengal,Zaid,Potato
224.11,44.2,143.08,22.29,89.02,6.99,1606.85,Alluvial,Kerala,Kharif,Rice
159.24,9.07,199.61,33.92,44.73,6.12,900.75,Red,Telangana,Zaid,Banana
279.69,27.85,72.16,37.16,59.24,7.09,1058.11,Alluvial,Andhra Pradesh,Zaid,Banana
96.95,10.95,73.93,33.56,87.41,6.99,3810.18,Sandy,Kerala,Rabi,Groundnut
96.09,8.69,64.04,37.04,39.01,6.44,665.92,Sandy,Uttar Pradesh,Zaid,Potato
46.82,14.25,32.55,29.64,75.18,5.9,2859.93,Sandy,Kerala,Rabi,Groundnut
130.04,6.22,141.31,29.48,78.47,6.06,2928.09,Red,Assam,Kharif,Banana
305.95,38.56,152.64,6.64,67.24,7.09,867.57,Clay,Uttar Pradesh,Zaid,Banana
133.48,16.09,53.35,24.54,55.94,6.39,1694.63,Red,West Bengal,Kharif,Tea
164.83,26.94,113.01,13.57,92.43,6.47,1679.07,Red,Assam,Rabi,Potato
190.16,23.63,99.87,15.85,55.19,6.08,828.97,Clay,Punjab,Zaid,Potato
144.17,15.22,106.91,37.48,59.29,7.69,728.66,Alluvial,Telangana,Rabi,Jowar
66.64,7.43,94.42,25.41,60.33,6.16,2640.0,Laterite,Maharashtra,Kharif,Coconut
94.39,7.15,122.15,21.9,65.2,5.86,2806.24,Red,Karnataka,Kharif,Ragi
107.96,12.43,56.54,41.47,45.83,6.53,303.03,Sandy,Rajasthan,Rabi,Mustard
58.83,15.03,110.99,10.34,57.73,6.89,1510.57,Sandy,Bihar,Zaid,Potato
131.72,17.81,64.74,22.84,76.35,5.46,1080.2,Laterite,Telangana,Kharif,Ragi
353.69,15.19,186.3,18.61,81.77,7.74,2378.56,Alluvial,Maharashtra,Rabi,Barley
62.12,10.14,65.11,26.1,54.56,5.51,2386.62,Laterite,Karnataka,Kharif,Coffee
99.06,15.0,137.39,18.18,67.67,6.26,1030.67,Red,Telangana,Rabi,Maize
200.33,11.08,62.27,22.51,85.72,6.32,1465.19,Red,West Bengal,Rabi,Potato
49.33,4.66,117.36,28.59,38.96,9.48,1369.37,Saline,Gujarat,Zaid,Banana
41.93,14.21,63.83,5.84,23.5,8.07,390.09,Saline,Rajasthan,Zaid,Potato
51.93,11.89,78.17,39.08,75.33,6.52,1292.44,Sandy,Bihar,Kharif,Coconut
93.94,9.14,68.01,32.51,76.88,9.19,1115.65,Saline,Gujarat,Kharif,Rice
30.35,6.07,139.98,40.08,31.45,5.53,587.57,Sandy,Gujarat,Rabi,Groundnut
110.65,12.61,51.94,30.16,87.95,7.24,2430.11,Sandy,Kerala,Rabi,Potato
256.32,23.21,54.32,24.54,50.78,7.08,1727.55,Alluvial,Maharashtra,Rabi,Tobacco
48.97,21.08,92.96,40.04,33.78,6.53,316.77,Red,Rajasthan,Zaid,Banana
127.43,23.38,109.39,16.83,58.5,6.48,1422.42,Clay,Bihar,Kharif,Sugarcane
178.17,17.06,181.63,34.63,69.65,7.67,2968.42,Black,Maharashtra,Rabi,Jowar
109.79,3.52,80.53,29.06,78.07,5.27,2145.27,Laterite,Kerala,Rabi,Potato
81.68,4.43,42.52,25.85,71.36,6.37,720.07,Sandy,Tamil Nadu,Kharif,Groundnut
232.79,13.46,211.68,21.41,62.47,6.79,1892.0,Red,Karnataka,Zaid,Banana
290.13,45.86,106.31,29.79,59.13,7.73,464.17,Alluvial,Punjab,Rabi,Gram
187.31,30.9,225.32,33.46,51.76,7.97,624.68,Alluvial,Rajasthan,Kharif,Jowar
68.56,32.13,107.98,29.01,65.27,8.27,927.89,Black,Andhra Pradesh,Zaid,Banana
34.58,15.98,28.25,36.39,64.8,5.86,914.65,Laterite,Tamil Nadu,Kharif,Ragi
91.29,26.18,224.94,26.0,55.58,8.43,988.79,Black,Tamil Nadu,Rabi,Maize
73.68,7.46,148.12,25.68,50.27,5.46,1587.27,Laterite,Madhya Pradesh,Zaid,Banana
142.38,14.77,149.26,30.34,62.81,5.81,1527.4,Red,Odisha,Zaid,Banana
52.36,5.16,166.06,22.61,74.3,5.71,777.46,Red,Tamil Nadu,Zaid,Potato
30.17,5.25,37.09,17.88,38.61,8.03,817.18,Saline,Gujarat,Kharif,Groundnut
390.36,23.0,137.49,15.72,71.05,6.6,616.59,Alluvial,Haryana,Rabi,Wheat
114.13,14.32,122.52,33.91,78.62,5.9,1157.91,Red,Telangana,Rabi,Chilli
136.71,21.06,142.41,18.44,45.74,7.08,1028.97,Black,Telangana,Rabi,Maize
123.82,11.06,94.77,40.46,50.55,6.69,962.58,Sandy,Uttar Pradesh,Rabi,Potato
93.84,10.61,75.78,32.07,56.76,6.42,1812.88,Laterite,Maharashtra,Kharif,Coconut
102.71,8.21,119.92,23.05,62.34,7.1,593.12,Sandy,Haryana,Rabi,Mustard
101.93,4.58,39.74,35.07,93.32,7.21,1813.08,Sandy,Kerala,Rabi,Mustard
202.64,13.11,130.67,25.9,66.63,8.48,1121.67,Black,Gujarat,Kharif,Tobacco
73.55,11.56,92.87,17.02,78.53,5.56,1613.51,Red,Odisha,Kharif,Turmeric
284.27,10.92,176.14,31.43,52.64,6.14,782.57,Clay,Punjab,Rabi,Wheat
98.34,13.99,227.03,33.39,79.45,6.28,834.61,Red,Tamil Nadu,Zaid,Banana
143.0,10.68,99.15,36.3,46.68,6.03,2098.0,Red,Maharashtra,Rabi,Jowar
100.1,19.49,158.23,37.12,53.64,7.38,1102.73,Alluvial,Telangana,Kharif,Cotton
60.18,10.84,39.36,34.3,49.27,6.42,1425.58,Sandy,Bihar,Rabi,Groundnut
124.26,14.13,116.43,20.97,63.33,6.69,1067.38,Alluvial,Telangana,Rabi,Chilli
294.67,15.9,110.21,34.52,54.28,6.75,438.74,Clay,Punjab,Zaid,Banana
230.79,23.34,287.16,36.18,34.76,6.68,332.96,Alluvial,Gujarat,Rabi,Jowar
67.71,8.99,102.28,39.6,56.96,6.11,1384.84,Red,West Bengal,Kharif,Cotton
363.03,17.45,197.33,13.67,87.58,6.81,2103.79,Alluvial,Assam,Rabi,Potato
140.39,17.78,175.93,10.19,46.5,7.56,452.9,Alluvial,Punjab,Kharif,Bajra
45.43,2.49,161.9,19.83,59.05,5.43,1705.22,Laterite,West Bengal,Rabi,Mustard
96.45,12.66,69.81,31.05,55.23,5.89,1593.7,Laterite,Karnataka,Zaid,Banana
76.99,14.14,86.78,12.98,45.15,7.8,1395.68,Black,Madhya Pradesh,Zaid,Banana
204.35,17.97,197.64,27.71,76.12,7.16,1647.09,Alluvial,Karnataka,Rabi,Jowar
30.62,12.29,31.74,28.85,75.06,6.35,883.87,Sandy,Tamil Nadu,Kharif,Groundnut
288.14,7.93,172.03,28.95,83.65,7.17,1427.67,Alluvial,Tamil Nadu,Kharif,Sugarcane
27.66,11.68,133.58,44.67,41.97,6.52,716.6,Sandy,Haryana,Zaid,Potato
142.2,6.6,57.78,34.16,74.12,7.21,544.21,Sandy,Gujarat,Kharif,Groundnut
